job,website,company,salary
Python 爬虫工程师 【坐标郑州】,http://company.zhaopin.com/CC319483532.htm,河南奇酷信息技术有限公司,10001-15000
初级Python工程师助理 双休/餐补,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
数据分析与挖掘-python工程师-00410,http://special.zhaopin.com/sh/2011/jsd071291/index.htm,卫宁健康科技集团股份有限公司,15001-20000
python开发工程师（上海）,http://company.zhaopin.com/CZ717907140.htm,深圳市前海谷雨网络科技有限公司,8000-12000
Python工程师,http://company.zhaopin.com/CZ549214880.htm,上海职晓人才咨询服务有限公司,15000-20000
Python开发工程师,http://company.zhaopin.com/CC277939137.htm,纳米盒,15000-25000
Java/Python/Hadoop高级软件研发工程师,http://company.zhaopin.com/CC429613911.htm,上海数策软件股份有限公司,15000-25000
Python工程师,http://company.zhaopin.com/CC399612635.htm,上海集钢电子商务有限公司,6000-8000
初级python开发工程师,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
Python工程师,http://company.zhaopin.com/CC562244523.htm,上海怡科信息科技有限公司,6000-8000
Python web开发工程师,http://company.zhaopin.com/CZ143884350.htm,上海晏鼠计算机技术有限公司,8001-10000
中/高级 Python 人工智能研发工程师,http://special.zhaopin.com/sh/2013/htxx071671,上海海同信息科技有限公司,15000-30000
python开发工程师,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E6%99%BA%E5%92%8C%E4%BF%A1%E6%81%AF%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC198948820.htm,上海智和信息技术有限公司,10001-15000
python工程师,http://company.zhaopin.com/CC202634680.htm,上海壤歌市场营销策划有限公司,15000-25000
Python Web 开发工程师(上海),http://company.zhaopin.com/CC483984531.htm,乐荐信息科技（北京）有限公司,15001-20000
JAVA/PHP/PYTHON开发工程师,http://company.zhaopin.com/CC512306021.htm,上海磐途网络科技有限公司,10001-15000
Python开发工程师,http://company.zhaopin.com/CC203630516.htm,上海易路软件有限公司,15001-20000
python开发工程师,http://company.zhaopin.com/CC319832035.htm,弘则弥道(上海)投资咨询有限公司,10000-20000
初级 Python开发工程师 （浦东世纪大道）,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4001-6000
运维工程师偏python,http://company.zhaopin.com/CC390088739.htm,上海金佳文化传媒有限公司,10001-15000
python开发工程师,http://company.zhaopin.com/P2/CC1677/0911/CC167709119.htm,上海华浪计算机科技有限公司,8001-10000
Python/Odoo高级开发工程师,http://company.zhaopin.com/P8/CC1377/7137/CC137771372.htm,上海企通软件有限公司,10000-20000
后端Python高级开发工程师,http://company.zhaopin.com/CC389004982.htm,上海甦翔投资咨询有限公司,15000-25000
Python工程师,http://company.zhaopin.com/CC601450626.htm,上海大岂网络科技有限公司,8000-15000
Python开发工程师,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E4%BC%AF%E4%BF%8A%E8%BD%AF%E4%BB%B6%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC176902317.htm,上海伯俊软件科技有限公司,10001-15000
Python开发工程师,http://company.zhaopin.com/CC646930424.htm,上海驻云信息科技有限公司,12000-18000
python工程师,http://company.zhaopin.com/CC268009338.htm,上海享途网络科技有限公司,10001-15000
Python工程师,http://company.zhaopin.com/CC618654037.htm,上海芒橙网络科技有限公司,2001-4000
python自然语言处理工程师,http://company.zhaopin.com/P2/CC3689/1831/CC368918312.htm,车音智能科技有限公司北京分公司,10000-20000
Python工程师,http://company.zhaopin.com/CC413814238.htm,上海怡胜信息科技有限公司,6000-8000
python工程师（上海）,http://company.zhaopin.com/CZ897833860.htm,深圳市源极光科技有限公司,10001-15000
Python工程师,http://company.zhaopin.com/CC618654037.htm,上海芒橙网络科技有限公司,2001-4000
Python开发工程师,http://company.zhaopin.com/CC424188188.htm,大连斯锐信息技术有限公司,10001-15000
高级Python工程师,http://company.zhaopin.com/CC288240581.htm,智慧芽信息科技(苏州)有限公司上海分公司,15001-20000
00619-103-中级Python开发工程师,http://company.zhaopin.com/CC538173424.htm,无锡华云数据技术服务有限公司,15000-25000
Python开发工程师,http://company.zhaopin.com/CC618654037.htm,上海芒橙网络科技有限公司,2001-4000
高薪Python技术工程师,http://company.zhaopin.com/CC622940439.htm,广州司瓦图网络开发有限公司,2001-4000
Python开发工程师（上海）,http://company.zhaopin.com/CC466965980.htm,深圳市芒柠科技有限公司,10001-15000
python开发工程师（上海）,http://company.zhaopin.com/CC562114535.htm,深圳市源极光科技有限公司,10001-15000
Python开发工程师,http://company.zhaopin.com/CC508620126.htm,中软国际科技服务有限公司,面议
Python开发工程师（上海）,http://special.zhaopin.com/sh/2012/pingait021699/index.htm,平安科技(深圳)有限公司,面议
Python开发工程师,http://special.zhaopin.com/pagepublish/21446031/index.html,交银企业管理服务(上海)有限公司张江高科技园区分公司,8000-15000
自动化测试工程师(selenium+Python/java),http://company.zhaopin.com/CC508620126.htm,中软国际科技服务有限公司,面议
诚聘Python技术工程师,http://company.zhaopin.com/CC622940439.htm,广州司瓦图网络开发有限公司,2001-4000
Python开发工程师(000638),http://company.zhaopin.com/P2/CC1204/8471/CC120484718.htm,中文在线数字出版集团股份有限公司,10001-15000
Python开发工程师（上海）,http://company.zhaopin.com/CZ562550030.htm,深圳市八斗才数据有限公司,10001-15000
python开发工程师（上海）,http://company.zhaopin.com/CZ562550030.htm,深圳市八斗才数据有限公司,10000-18000
00518-32-高级Python开发工程师,http://company.zhaopin.com/CC538173424.htm,无锡华云数据技术服务有限公司,20001-30000
python开发工程师（上海）,http://company.zhaopin.com/CC562114535.htm,深圳市源极光科技有限公司,10001-15000
python开发工程师（上海）,http://company.zhaopin.com/CC466965980.htm,深圳市芒柠科技有限公司,12000-20000
资深python开发工程师,http://company.zhaopin.com/P2/CC2648/4421/CC264844217.htm,游族网络,15000-25000
python开发工程师,http://special.zhaopin.com/2017/sh/sjsjs031523,上交所技术有限责任公司,面议
python工程师,http://company.zhaopin.com/CZ557525220.htm,上海德必文化创意产业发展(集团)股份有限公司,20001-30000
python高级工程师-真格基金投资公司,http://company.zhaopin.com/CC509189225.htm,北京真格天成投资管理有限公司,20001-30000
Python开发工程师（甲方偏前端）.,http://company.zhaopin.com/CC598944425.htm,上海众龙实业有限公司,15001-20000
python平台开发工程师,http://ztgame.zhaopin.com,上海巨人网络科技有限公司,15000-25000
Python开发工程师(金融行业),http://company.zhaopin.com/CZ404581310.htm,北京新致君阳信息技术有限公司,10000-20000
python开发工程师,http://company.zhaopin.com/CC469912010.htm,深圳市网新新思软件有限公司,10001-15000
Python研发工程师【坐标郑州】,http://company.zhaopin.com/CC319483532.htm,河南奇酷信息技术有限公司,10001-15000
Python开发工程师,http://xiaoyuan.zhaopin.com/subcompany/CC000936902D90000011000,复星一家联合招聘,面议
Python 爬虫工程师 【坐标郑州】,http://company.zhaopin.com/CC319483532.htm,河南奇酷信息技术有限公司,10001-15000
初级Python工程师助理 双休/餐补,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
数据分析与挖掘-python工程师-00410,http://special.zhaopin.com/sh/2011/jsd071291/index.htm,卫宁健康科技集团股份有限公司,15001-20000
python开发工程师（上海）,http://company.zhaopin.com/CZ717907140.htm,深圳市前海谷雨网络科技有限公司,8000-12000
Python工程师,http://company.zhaopin.com/CZ549214880.htm,上海职晓人才咨询服务有限公司,15000-20000
java+python开发工程师,http://company.zhaopin.com/P10/CC1388/7379/CC138873798.htm,上海登飞计算机科技有限公司,10001-15000
Python 工程师,http://company.zhaopin.com/CC402972316.htm,思满软件科技(上海)有限公司,15000-25000
高级Python工程师/深度学习,http://company.zhaopin.com/P10/CC0003/9619/CC000396199.htm,中星微电子有限公司,20000-25000
python开发工程师（上海）,http://company.zhaopin.com/CZ544024680.htm,深圳市前海谷雨网络科技有限公司,10001-15000
初级Python工程师,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
Python开发工程师,http://company.zhaopin.com/CZ741244280.htm,湖州爱奇享客信息科技有限公司,10001-15000
python数据工程师,http://company.zhaopin.com/CC336380430.htm,上海钱坤在线信息咨询有限公司,8001-10000
python研发工程师,http://company.zhaopin.com/CC694553387.htm,北京丰合智信网络科技有限公司,15000-30000
Python开发工程师+餐补双休,http://company.zhaopin.com/CC475295037.htm,大连淘车网络科技有限公司上海分公司,2001-4000
Python运维开发工程师,http://special.zhaopin.com/sh/2014/11109/ztxjr052834,中腾信金融信息服务(上海)有限公司,15000-23000
Python 数据开发工程师,http://company.zhaopin.com/CC443446127.htm,北京经纬恒润科技有限公司海淀分公司,12000-24000
Python测试开发工程师,http://company.zhaopin.com/CC120004310.htm,华扬联众数字技术股份有限公司,15001-20000
Python开发工程师,http://special.zhaopin.com/sz/2011/szpc112803/index.html,苏州市软件评测中心有限公司,10001-15000
Python软件工程师（上海）,http://company.zhaopin.com/CZ242400010.htm,大连优尼特科技有限公司,10000-20000
高级python开发工程师,http://company.zhaopin.com/CC174731726.htm,上海迈外迪网络科技有限公司北京分公司,12000-22000
Python开发工程师+餐补双休,http://company.zhaopin.com/CC490983739.htm,大连中科云信息技术有限公司上海分公司,2001-4000
自动化测试工程师（Python 编号05）,http://special.zhaopin.com/pagepublish/15784052/index.html,上海复深蓝软件股份有限公司,9000-18000
python开发工程师,http://company.zhaopin.com/CC512741335.htm,大连焱展信息技术有限公司上海分公司,4001-6000
python开发工程师,http://company.zhaopin.com/CC302141822.htm,广州嘉为科技有限公司,6001-8000
Python初级开发工程师助理   双休，餐补,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4001-6000
Python初级开发工程师助理   双休，餐补,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4001-6000
Python开发工程师（助理）,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4001-6000
高级研发工程师(Python)-J,http://company.zhaopin.com/CZ236844410.htm,公安部第三研究所,15001-20000
初级Python开发工程师,http://company.zhaopin.com/CC472053031.htm,大连摩比维迪视频系统有限公司上海分公司,4001-6000
初级python开发工程师（大平台+晋升快）,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
python开发工程师,http://special.zhaopin.com/sh/2010/ctrip031513/index.htm,携程计算机技术(上海)有限公司,10000-20000
Python开发工程师（上海）,http://special.zhaopin.com/sh/2012/pingait021699/index.htm,平安科技(深圳)有限公司,面议
Python开发工程师-上海-02633,http://company.zhaopin.com/CC000163976.htm,博彦科技股份有限公司,15001-20000
高级Python开发工程师,http://company.zhaopin.com/CC469217519.htm,北京字节跳动科技有限公司,25000-50000
高级python开发工程师,http://special.zhaopin.com/sh/2011/qjwx062726/index.htm,上海齐家网信息科技股份有限公司,15000-30000
初级Python开发工程师（周末双休）,http://company.zhaopin.com/CC422282532.htm,上海众软信息科技有限公司,4001-6000
Python软件开发工程师,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E5%BF%97%E8%A1%8C%E5%90%88%E5%8A%9B%E7%BD%91%E7%BB%9C%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC371594715.htm,上海志行合力网络技术有限公司,8000-12000
Python开发工程师（实习生）,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
python开发工程师助理（理工科+应届生）,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
Python/Odoo开发工程师,http://company.zhaopin.com/CC201272337.htm,宝舜科技股份有限公司,8000-15000
python软件工程师,http://company.zhaopin.com/CZ413162180.htm,上海伍堃智能科技有限公司,7000-13000
Python / Odoo 开发工程师,http://company.zhaopin.com/CZ776254580.htm,厦门智士软件科技有限公司,8000-16000
Python服务端开发工程师,http://company.zhaopin.com/CC274996015.htm,上海速飞智能科技有限公司,8000-15000
Python开发工程师/助理,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
Python/R语言方向工程师,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E6%9C%89%E5%A4%A7%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC462451918.htm,上海有大信息科技有限公司,15001-20000
软件工程师Python方向,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
Python高级工程师,http://company.zhaopin.com/CZ629024030.htm,上海信羲投资管理有限公司,20001-30000
python工程师,http://company.zhaopin.com/CC773555980.htm,欢唱网络科技(上海)有限公司,14000-28000
python工程师,http://company.zhaopin.com/CC337669085.htm,上海关门网络科技有限公司,20000-30000
python工程师,http://company.zhaopin.com/CZ896215830.htm,上海名愿科技有限公司,13000-25000
python工程师,http://company.zhaopin.com/CC630744231.htm,远瞳(上海)智能技术有限公司,15001-20000
matlab/python工程师,http://company.zhaopin.com/CZ565210320.htm,上海国时资产管理有限公司,8001-10000
Python工程师 （SEO经验者优先）,http://company.zhaopin.com/CZ438289820.htm,上海担路网络科技有限公司,6001-8000
Python工程师,http://company.zhaopin.com/CC623731338.htm,西安奥卡云数据科技有限公司,15001-20000
python工程师,http://company.zhaopin.com/CZ373804530.htm,成都学妹科技有限公司,10000-15000
高级Python工程师,http://company.zhaopin.com/CC288208330.htm,东吴金科,15000-30000
python开发工程师,http://company.zhaopin.com/CZ459642920.htm,上海知平信息技术有限公司,10000-20000
初级python开发工程师（助理也招）,http://special.zhaopin.com/2016/sh/11107/shzr111885,上海茁云科技服务有限公司,4001-6000
python高级开发工程师,http://company.zhaopin.com/P1/CC0006/1330/CC000613300.htm,埃森哲(中国)有限公司,面议
Python后端开发工程师J11224,http://special.zhaopin.com/sh/2014/hujia021493,沪江教育科技(上海)股份有限公司,15001-20000
Python数据开发工程师,http://ztgame.zhaopin.com,上海巨人网络科技有限公司,15000-25000
大数据python/机器学习工程师,http://company.zhaopin.com/P1/CC0006/1330/CC000613300.htm,埃森哲(中国)有限公司,10001-15000
Python开发工程师（甲方互联网公司）,http://company.zhaopin.com/CC598944425.htm,上海众龙实业有限公司,15001-20000
Python工程师,http://company.zhaopin.com/CC538792981.htm,上海博为峰软件技术股份有限公司长沙分公司,8000-15000
python高级大数据开发工程师,http://company.zhaopin.com/CZ303024380.htm,阿基米德(上海)传媒有限公司,15001-20000
python爬虫工程师,http://company.zhaopin.com/CZ565210320.htm,上海国时资产管理有限公司,8000-12000
python软件工程师,http://company.zhaopin.com/CZ624301130.htm,上海国驿物联网科技有限公司,10001-15000
python开发工程师,http://company.zhaopin.com/CZ897209730.htm,上海宝金信息科技有限公司,10000-20000
python后端工程师,http://company.zhaopin.com/CC411387185.htm,上海美猴网络科技有限公司,10000-20000
Java/C++/Python高级开发工程师（腾讯）,http://company.zhaopin.com/CZ605618980.htm,上海赤犬投资管理有限公司,35000-55000
python数据工程师,http://company.zhaopin.com/CC702792727.htm,上海觅邦信息科技有限公司,10000-20000
python开发工程师,http://company.zhaopin.com/P2/CC1979/9801/CC197998015.htm,上海华屹数码科技有限公司,10001-15000
Python 开发工程师,http://company.zhaopin.com/P1/CC1386/3110/CC138631108.htm,百硕同兴科技(北京)有限公司,7500-12000
Web 开发工程师 - Python,http://special.zhaopin.com/sh/2010/aon102112/index.html,Aon Hewitt 怡安翰威特,15001-20000
Python开发工程师,http://special.zhaopin.com/pagepublish/14916001/index.html,上海神州数码有限公司,8001-10000
高级软件工程师（Python）,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E5%8D%9A%E7%AC%83%E8%BD%AF%E4%BB%B6%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC136100646.htm,上海博笃软件有限公司,10001-15000
Python 高级软件工程师,http://company.zhaopin.com/CC274996015.htm,上海速飞智能科技有限公司,8000-15000
资深Python开发工程师,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E4%BC%98%E5%88%BB%E5%BE%97%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC469173413.htm,上海优刻得信息科技有限公司,25000-35000
初级Python开发工程师,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E4%BC%98%E5%88%BB%E5%BE%97%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC469173413.htm,上海优刻得信息科技有限公司,15000-25000
高级Python开发工程师,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E4%BC%98%E5%88%BB%E5%BE%97%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC469173413.htm,上海优刻得信息科技有限公司,25000-35000
中级Python开发工程师,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E4%BC%98%E5%88%BB%E5%BE%97%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC469173413.htm,上海优刻得信息科技有限公司,15000-25000
Python 高级开发工程师,http://company.zhaopin.com/CC553074423.htm,上海亿保网络技术有限公司,8000-15000
python/java软件工程师,http://company.zhaopin.com/CZ563099280.htm,上海铱芯信息科技有限公司,10001-15000
python开发工程师,http://company.zhaopin.com/CC710850926.htm,北京众标网络科技有限公司上海分公司,10001-15000
python软件开发工程师,http://company.zhaopin.com/CZ303024380.htm,阿基米德(上海)传媒有限公司,10001-15000
Python开发工程师,http://company.zhaopin.com/CZ370404080.htm,上海层峰网络科技有限公司,5000-8000
数据分析工程师（Python软件开发）,http://company.zhaopin.com/CC468742931.htm,上海思勰投资管理有限公司,10000-20000
Python服务端开发工程师,http://company.zhaopin.com/CC497681031.htm,上海芒宇信息科技有限公司,6000-10000
Python开发工程师,http://company.zhaopin.com/%E5%8D%9A%E7%AD%94%E4%BC%81%E4%B8%9A%E7%AE%A1%E7%90%86%E5%92%A8%E8%AF%A2%28%E4%B8%8A%E6%B5%B7%29%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC493463820.htm,博答企业管理咨询(上海)有限公司,10001-15000
python开发工程师,http://company.zhaopin.com/CC584048321.htm,百融商业保理有限公司,10001-15000
Python开发工程师,http://company.zhaopin.com/CC686413723.htm,上海微令信息科技有限公司,8000-15000
python软件开发工程师,http://company.zhaopin.com/%E4%B8%8A%E6%B5%B7%E6%B2%B3%E5%B9%BF%E4%BF%A1%E6%81%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC425936513.htm,上海河广信息科技有限公司,15001-20000
